                    city                     | count 
---------------------------------------------+-------
 Toronto                                     |  4393
 Las Vegas                                   |  4085
 Phoenix                                     |  2677
 Charlotte                                   |  1717
 Montréal                                    |  1677
 Pittsburgh                                  |  1418
 Edinburgh                                   |  1079
 Scottsdale                                  |   953
 Mesa                                        |   821
 Cleveland                                   |   817
 Mississauga                                 |   685
 Tempe                                       |   682
 Madison                                     |   644
 Henderson                                   |   610
 Chandler                                    |   550
 Stuttgart                                   |   523
 Glendale                                    |   481
 Markham                                     |   472
 Gilbert                                     |   441
 North Las Vegas                             |   256
 Peoria                                      |   253
 Scarborough                                 |   251
 North York                                  |   245
 Richmond Hill                               |   238
 Vaughan                                     |   223
 Champaign                                   |   221
 Brampton                                    |   214
 Concord                                     |   184
 Oakville                                    |   168
 Etobicoke                                   |   160
 Surprise                                    |   158
 Avondale                                    |   129
 Goodyear                                    |   119
 Fort Mill                                   |   118
 Huntersville                                |   110
 Lakewood                                    |   110
 Matthews                                    |   106
 Gastonia                                    |   103
 Mentor                                      |    97
 Urbana                                      |    90
 Aurora                                      |    85
 Thornhill                                   |    83
 Laval                                       |    83
 Montreal                                    |    79
 Cuyahoga Falls                              |    78
 Pickering                                   |    77
 Newmarket                                   |    77
 Strongsville                                |    75
 Whitby                                      |    75
 Ajax                                        |    73
 Cornelius                                   |    70
 Westlake                                    |    67
 Kent                                        |    65
 Medina                                      |    63
 Monroeville                                 |    62
 Parma                                       |    61
 Middleton                                   |    61
 Stow                                        |    59
 North Olmsted                               |    58
 Rocky River                                 |    57
 Fountain Hills                              |    54
 Cave Creek                                  |    49
 Woodbridge                                  |    49
 Ludwigsburg                                 |    49
 Willoughby                                  |    47
 Indian Trail                                |    47
 Fitchburg                                   |    46
 Sun Prairie                                 |    46
 Solon                                       |    45
 Belmont                                     |    45
 Hudson                                      |    45
 Pineville                                   |    44
 Verdun                                      |    44
 Avon                                        |    43
 Wexford                                     |    43
 Beachwood                                   |    39
 Cleveland Heights                           |    37
 Bridgeville                                 |    37
 Chester                                     |    37
 Sun City                                    |    36
 Brunswick                                   |    36
 Verona                                      |    36
 Brossard                                    |    35
 Böblingen                                   |    35
 Boulder City                                |    35
 Elyria                                      |    34
 Bethel Park                                 |    34
 Litchfield Park                             |    33
 Esslingen                                   |    33
 Fairlawn                                    |    33
 Inverness                                   |    33
 Amherst                                     |    32
 Mayfield Heights                            |    32
 Saint-Laurent                               |    31
 Monona                                      |    31
 Canonsburg                                  |    31
 Kannapolis                                  |    31
 Berea                                       |    31
