                    city                     | count 
---------------------------------------------+-------
 Las Vegas                                   | 17337
 Phoenix                                     | 10606
 Charlotte                                   |  5169
 Scottsdale                                  |  5117
 Pittsburgh                                  |  3314
 Edinburgh                                   |  3243
 Mesa                                        |  3184
 Henderson                                   |  2834
 Tempe                                       |  2765
 Chandler                                    |  2417
 Madison                                     |  2098
 Glendale                                    |  1820
 Gilbert                                     |  1713
 Peoria                                      |   928
 North Las Vegas                             |   816
 Karlsruhe                                   |   613
 Surprise                                    |   587
 Champaign                                   |   461
 Goodyear                                    |   458
 Avondale                                    |   386
 Queen Creek                                 |   348
 Matthews                                    |   344
 Urbana                                      |   260
 Waterloo                                    |   258
 Fort Mill                                   |   238
 Cave Creek                                  |   229
 Middleton                                   |   208
 Kitchener                                   |   187
 Pineville                                   |   184
 Casa Grande                                 |   181
 Fountain Hills                              |   176
 Laval                                       |   174
 Concord                                     |   160
 Apache Junction                             |   157
 Maricopa                                    |   143
 Buckeye                                     |   131
 Fitchburg                                   |   123
 Anthem                                      |   123
 Sun Prairie                                 |   114
 Litchfield Park                             |   110
 Sun City                                    |   104
 Paradise Valley                             |    91
 Homestead                                   |    87
 Laveen                                      |    79
 Monona                                      |    79
 Tolleson                                    |    77
 San Tan Valley                              |    76
 Verdun                                      |    76
 Montreal                                    |    72
 Belmont                                     |    71
 Wickenburg                                  |    71
 Verona                                      |    60
 Carnegie                                    |    57
 Saint-Laurent                               |    57
 Brossard                                    |    54
 Indian Trail                                |    50
 Carefree                                    |    50
 El Mirage                                   |    49
 Pointe-Claire                               |    46
 Mint Hill                                   |    44
 Ettlingen                                   |    41
 Sun City West                               |    40
 Florence                                    |    40
 Lasalle                                     |    39
 Waunakee                                    |    38
 Boulder City                                |    37
 Dollard-Des-Ormeaux                         |    36
 Dorval                                      |    34
 Gold Canyon                                 |    34
 Huntersville                                |    33
 West Mifflin                                |    33
 Dollard-des-Ormeaux                         |    32
 Harrisburg                                  |    30
 Youngtown                                   |    27
 Paradise                                    |    26
 Outremont                                   |    26
 Longueuil                                   |    25
 Westmount                                   |    24
 Bellevue                                    |    24
 Gila Bend                                   |    20
 Lachine                                     |    18
 Munhall                                     |    18
 Coolidge                                    |    18
 De Forest                                   |    17
 Mount Holly                                 |    17
 N Las Vegas                                 |    16
 Higley                                      |    16
 Guadalupe                                   |    15
 Cottage Grove                               |    15
 Pierrefonds                                 |    15
 Nellis AFB                                  |    15
 Musselburgh                                 |    14
 Kirkland                                    |    14
 Mc Farland                                  |    14
 McKees Rocks                                |    14
 Tega Cay                                    |    13
 Aspinwall                                   |    13
 Ahwatukee                                   |    13
 Mount Lebanon                               |    13
 Savoy                                       |    13
 Mont-Royal                                  |    12
 Sun Lakes                                   |    12
 West Homestead                              |    12
 South Queensferry                           |    12
 Bridgeville                                 |    12
 La Prairie                                  |    10
 Mc Kees Rocks                               |    10
 New River                                   |    10
 Cambridge                                   |     9
 Tonopah                                     |     9
 Saint-Lambert                               |     9
 Weingarten                                  |     9
 McFarland                                   |     9
 Stallings                                   |     9
 Windsor                                     |     8
 Enterprise                                  |     8
 Waddell                                     |     8
 Durmersheim                                 |     8
 Eggenstein-Leopoldshafen                    |     8
 Pfinztal                                    |     8
 Wilkinsburg                                 |     8
 DeForest                                    |     8
 Dalkeith                                    |     8
 Waldbronn                                   |     7
 Fort McDowell                               |     7
 Saint-Leonard                               |     7
 Indian Land                                 |     7
 Rheinstetten                                |     7
 Spring Valley                               |     6
 Rio Verde                                   |     6
 Dormont                                     |     6
 Las Vegas                                   |     6
 Brentwood                                   |     6
 Lake Wylie                                  |     6
 Swissvale                                   |     6
 Crafton                                     |     6
 Wesley Chapel                               |     6
 Loanhead                                    |     5
 Sainte-Anne-De-Bellevue                     |     5
 Heidelberg                                  |     5
 Juniper Green                               |     5
 Dravosburg                                  |     5
 Castle Shannon                              |     5
 Greenfield Park                             |     5
 Waxhaw                                      |     5
 St Jacobs                                   |     4
 Beaconsfield                                |     4
 Mckees Rocks                                |     4
 Morristown                                  |     4
 Tonto Basin                                 |     4
 Lasswade                                    |     4
 Stutensee                                   |     4
 Millvale                                    |     4
 Sharpsburg                                  |     4
 Old Town                                    |     4
 Scottdale                                   |     4
 New Town                                    |     4
 Clark                                       |     4
 St. Jacobs                                  |     4
 Bonnyrigg                                   |     4
 Mount Washington                            |     3
 Nellis Afb                                  |     3
 Stoughton                                   |     3
 Laveen Village                              |     3
 Terrebonne                                  |     3
 Squirrel Hill                               |     3
 Rosemere                                    |     3
 Bethel Park                                 |     3
 Deforest                                    |     3
 Stockbridge                                 |     3
 Vimont                                      |     3
 Firth of Forth                              |     3
 Weddington                                  |     3
 Tortilla Flat                               |     3
 Saint-laurent                               |     3
 Black Canyon City                           |     3
 Karlsbad                                    |     3
 Dollard-Des Ormeaux                         |     3
 Braddock                                    |     3
 Sainte-Anne-de-Bellevue                     |     3
 Oakland                                     |     3
 Central City Village                        |     3
 Saint-Eustache                              |     3
 Leith                                       |     3
 Clover                                      |     3
 Fort Mcdowell                               |     3
 Bietigheim                                  |     3
 Boisbriand                                  |     3
 LaSalle                                     |     3
 Newbridge                                   |     3
 Shadyside                                   |     3
 N. Las Vegas                                |     2
 Mcfarland                                   |     2
 Queensferry                                 |     2
 Edgewood                                    |     2
 Rankin                                      |     2
                                             |     2
 South Las Vegas                             |     2
 East Mesa                                   |     2
 Arlington                                   |     2
 Blainville                                  |     2
 Wittmann                                    |     2
 Neuburg am Rhein                            |     2
 Concord Mills                               |     2
 LAS VEGAS                                   |     2
 Allentown                                   |     2
 City of Edinburgh                           |     2
 Conestogo                                   |     2
 Mt Lebanon                                  |     2
 Portobello                                  |     2
 Chandler Heights                            |     2
 Midlothian                                  |     2
 phoenix                                     |     2
 Summerlin South                             |     2
 Hagenbach                                   |     2
 Lawrenceville                               |     2
 Pheonix                                     |     2
 Inverkeithing                               |     2
 Summerlin                                   |     2
 North Queensferry                           |     2
 glendale                                    |     2
 Charlotte                                   |     2
 Saint Laurent                               |     2
 Jockgrim                                    |     2
 Bellvue                                     |     2
 Weingarten (Baden)                          |     2
 Boucherville                                |     2
 Dane                                        |     2
