 "Ron's Market Eastern European Meat & Deli 6085 S Fort Apache Rd  Ste 140", "Ron's Market Eastern European Meat & Deli 6085 S Fort Apache Rd Ste 140 Spring Valley Las Vegas  NV 89148"
 "Ronald's Donuts 4600 Spring Mountain Rd", "Ronald's Donuts 4600 Spring Mountain Rd Chinatown Las Vegas  NV 89102"
 "Ronnie's Cafe 4323 W Cactus Rd  Ste 3", "Ronnie's Cafe 4323 W Cactus Rd Ste 3 Glendale  AZ 85304"
 'Roosters Kountry Kitchen ', 'Roosters Kountry Kitchen Phoenix  AZ'
 'Roots Coffeehouse 30855 N Cave Creek Rd', 'Roots Coffeehouse 30855 N Cave Creek Rd Cave Creek  AZ 85331'
 'Roots Farm Food 3410 St Vardell Ln  Ste D', 'Roots Farm Food 3410 ST Vardell Ln Ste D Charlotte  NC 28217'
 'Rosallie 6090 S Rainbow Blvd', 'Rosallie 6090 S Rainbow Blvd Spring Valley Las Vegas  NV 89118'
 "Rosati's Pizza 3654 N Power Rd", "Rosati's Pizza 3654 N Power Rd Mesa  AZ 85215"
 'Rose Tea Cafe 412 S Craig St', 'Rose Tea Cafe 412 S Craig St Oakland Pittsburgh  PA 15213'
 'Roseburn Cafe 8 Roseburn Terrace', 'Roseburn Cafe 8 Roseburn Terrace Haymarket Edinburgh EH12 6AW'
 'Roses 5704 E Independence Blvd', 'Roses 5704 E Independence Blvd Arboretum Charlotte  NC 28212'
 'Rosevear Tea 100 Bruntsfield Place', 'Rosevear Tea 100 Bruntsfield Place The Meadows Edinburgh EH10 4ES'
 "Rosie's Coffee Bar & Bakery 4604 Monona Dr", "Rosie's Coffee Bar & Bakery 4604 Monona Dr Lake Edge Madison  WI 53716"
 "Rosie's Italian Cafe 13930 W Camino Del Sol  Ste 111", "Rosie's Italian Cafe 13930 W Camino Del Sol Ste 111 Sun City West  AZ 85375"
 "Rosita's Fine Mexican Food 2023 W Guadalupe Rd", "Rosita's Fine Mexican Food 2023 W Guadalupe Rd Mesa  AZ 85202"
 "Rosita's Fine Mexican Food 960 W University Dr", "Rosita's Fine Mexican Food 960 W University Dr Tempe  AZ 85281"
 'Rotato 30 Buccleuch Street', 'Rotato 30 Buccleuch Street Newington Edinburgh EH8 9LP'
 'Rotisserie St-Hubert Trudeau International Airport', 'Rotisserie St-Hubert Trudeau International Airport Saint-Laurent Dorval  QC H4Y 1H2'
 'Round Up Meats 130 W Hampton Ave', 'Round Up Meats 130 W Hampton Ave Mesa  AZ 85210'
 'Roundabout Brewery 4901 Butler St', 'Roundabout Brewery 4901 Butler St Lawrenceville Pittsburgh  PA 15206'
 'Route 27 ', 'Route 27 Ville-Marie Montréal  QC'
 "Roy's Liquor  Wine & Cigars 3330 S Hualapai Way  Ste 180", "Roy's Liquor  Wine & Cigars 3330 S Hualapai Way Ste 180 South Summerlin Las Vegas  NV 89117"
 'Royal At The Market 14 E Pierce St', 'Royal At The Market 14 E Pierce St Phoenix  AZ 85004'
 'Royal Cafe & Creperie 131 Matthews Station St  Ste E', 'Royal Cafe & Creperie 131 Matthews Station St Ste E Matthews  NC 28105'
 'Royal Cafe 10793 Grand Ave', 'Royal Cafe 10793 Grand Ave Sun City  AZ 85351'
 'Royal Coffee Bar 209 W Jackson St', 'Royal Coffee Bar 209 W Jackson St Phoenix  AZ 85003'
 'Royal Coffee Bar 2502 E Camelback Rd  Ste 193', 'Royal Coffee Bar 2502 E Camelback Rd Ste 193 Phoenix  AZ 85016'
 'Royal Coffee Bar 612 E Adams St', 'Royal Coffee Bar 612 E Adams St Phoenix  AZ 85004'
 'Royal Coffee Bar and Roasting 502 S College Ave', 'Royal Coffee Bar and Roasting Co 502 S College Ave Tempe  AZ 85281'
 'Royal Dragon Chinese Food 3685 Concord Pkwy S', 'Royal Dragon Chinese Food 3685 Concord Pkwy S Concord  NC 28027'
 'Royal Dynasty 197 Whitehouse Road', 'Royal Dynasty 197 Whitehouse Road Edinburgh EH4 6BU'
 'Royal Mile Market Royal Mile  Inside Tron Kirk', 'Royal Mile Market Royal Mile Inside Tron Kirk Old Town Edinburgh EH1 1PD'
 'Royal Mile Whiskies 379 High Street', 'Royal Mile Whiskies 379 High Street Old Town Edinburgh EH1 1PW'
 'Royal Overseas League Royal Overseas League  100 Princes St', 'Royal Overseas League Royal Overseas League 100 Princes St New Town Edinburgh EH2 3AB'
 'Royale Café 274 Canongate  The Royal Mile', 'Royale Café 274 Canongate The Royal Mile Old Town Edinburgh EH8 8AA'
 "Royce' 3377 S Las Vegas Blvd", "Royce' 3377 S Las Vegas Blvd The Strip Las Vegas  NV 89109"
 'Ruby Tuesday Tempe Marketplace', 'Ruby Tuesday Tempe Marketplace Tempe  AZ 85281'
 'Ruchi Tandoori Takeaway 3 London Road', 'Ruchi Tandoori Takeaway 3 London Road Edinburgh EH7 5AP'
 "Rudi's Delicatessens 30 Forrest Road", "Rudi's Delicatessens 30 Forrest Road Old Town Edinburgh EH1 2QN"
 'Runway Cafe 275 East Tropicana Ave', 'Runway Cafe 275 East Tropicana Ave Southeast Las Vegas  NV 89169'
