,business_id,name,neighborhood,address,city,state,postal_code,latitude,longitude,stars,review_count,categories
0,XOSRcvtaKc_Q5H1SAzN20A,"""East Coast Coffee""",,"""737 West Pike St""",Houston,PA,15342,40.2415480142,-80.2128151059,4.5,3,Breakfast & Brunch;Gluten-Free;Coffee & Tea;Food;Restaurants;Sandwiches
1,l09JfMeQ6ynYs5MCJtrcmQ,"""Alize Catering""",Yonge and Eglinton,"""2459 Yonge St""",Toronto,ON,M4P 2H6,43.7113993,-79.3993388,3.0,12,Italian;French;Restaurants
2,gAy4LYpsScrj8POnCW6btQ,"""Toast Cafe""",,"""2429 Hwy 160 W""",Fort Mill,SC,29708,35.047286799999995,-80.9905588,3.5,6,Food;American (Traditional);Coffee & Tea;Restaurants
3,1_3nOM7s9WqnJWTNu2-i8Q,"""Le Bistro Balmoral""",Ville-Marie,"""305 Rue Sainte-Catherine O""",Montreal,QC,H2X 2A1,45.506772212600005,-73.5667249688,3.0,8,Arts & Entertainment;Festivals;Restaurants;French;Gastropubs
4,BnuzcebyB1AfxH0kjNWqSg,"""Carrabba's Italian Grill""",,"""245 Lancaster Ave""",Frazer,PA,19355,40.0410025289,-75.5424965117,3.5,25,Restaurants;Italian;Seafood
5,EJFdWX908N8Yc2XG0Lky8A,"""River Moon Cafe""",Lawrenceville,"""104 43rd St""",Pittsburgh,PA,15201,40.472735,-79.9632647,4.0,5,Cafes;Restaurants
6,0lCpaZpmjCFEmtti9O9ZdQ,"""LaPuma Bakery""",,"""12656 Chillicothe Rd""",Chesterland,OH,44026,41.5242686,-81.3379626,3.5,3,Bakeries;Food
7,F0fEKpTk7gAmuSFI0KW1eQ,"""Cafe Mastrioni""",Spring Valley,"""4250 S Rainbow Blvd, Ste 1007""",Las Vegas,NV,89103,36.111057200000005,-115.2416881,1.5,3,Italian;Restaurants
8,HAX1zec191t7QkT2sBZ76A,"""La Isla Cuban Restaurant""",,"""1816 Galerea Blvd, Ste D""",Charlotte,NC,28270,35.137223,-80.734594,3.0,4,Restaurants;Cuban
9,1nhf9BPXOBFBkbRkpsFaxA,"""Mirage Grill & Lounge""",Yonge and Eglinton,"""117 Eglinton Avenue E""",Toronto,ON,M4P 1H4,43.7074649,-79.39428520000001,2.0,6,Breakfast & Brunch;Food;Coffee & Tea;Canadian (New);Restaurants
10,T5CdfrZWw-uW9Y5L_sddqQ,"""Police Station Pizza""",,"""7235 Steubenville Pike""",Oakdale,PA,15071,40.4428283,-80.1862933,3.0,9,Pizza;Restaurants
11,5XejqzaFmtkZMstJS5Iy-w,"""D'Lish Cafe""",,"""503 W Thomas Rd""",Phoenix,AZ,85013,33.480301399999995,-112.0805864,4.0,37,Vegan;American (New);Restaurants;Sandwiches;Salad;Wraps;Food
12,nigYwB_m1TQ1WosjSWi-Hw,"""Simply Burgers""",,"""1455 W Elliot Rd""",Gilbert,AZ,85233,33.3496582,-111.8212381,3.0,5,Burgers;Restaurants
13,AR6mrWO89rq-ku_t_E71AA,"""Munchie Delivery""",Capitol,"""111 N Broom St""",Madison,WI,53703,43.0727667,-89.39016140000001,3.5,7,Convenience Stores;Desserts;Food Delivery Services;Food;Grocery
14,mtTxLi9CZNOsDqOTJH3pQw,"""Felicitea""",NoDa,"""516 E 15th St, Ste 11D""",Charlotte,NC,28206,35.2328829,-80.8256098,3.0,4,Food;Coffee & Tea;Massage;Beauty & Spas
15,zV_aclADLjx2KOql9F_FTw,"""Crepe Cafe""",,"""313 E Green St, Ste 5""",Champaign,IL,61820,40.109986,-88.233777,3.0,4,Restaurants;Creperies
16,d7AtQMYDUh40DeJinidFNQ,"""2 Cochons""",Villeray-Saint-Michel-Parc-Extension,"""7387 Boulevard Saint-Michel""",Montréal,QC,H2A 3A1,45.56028370000001,-73.6010215,3.5,3,Restaurants;Sandwiches;Delicatessen;Asian Fusion;Food;Cafes
17,Uy3_5nLo3sYkAuSX6mjdmg,"""Geebee's Bar & Grill""",Southeast,"""8560 Las Vegas Blvd S""",Las Vegas,NV,89123,36.0342435,-115.1714093,4.5,33,Restaurants;American (Traditional)
18,2eU7ltXoQ2U7SyLhuY9Vxw,"""Fueled Espresso and Freshbar""",Christie Pits,"""739 Ossington Avenue""",Toronto,ON,M6G,43.6623625,-79.4256786,3.5,9,Juice Bars & Smoothies;Food
19,Qv0OEziLJwyAqcgtrTsA4w,"""Luke's Of Chicago""",,"""15223 N Northsight Blvd""",Scottsdale,AZ,85260,33.6228299458,-111.892189979,3.5,50,Italian;Restaurants;Sandwiches;Hot Dogs
20,e4-Clr5QT4l3Rf9R7tQ5aQ,"""Fresh & Easy""",,"""1209 E Bell Rd""",Phoenix,AZ,85022,33.6396146,-112.0561959,4.0,25,Shopping;Grocery;Florists;Flowers & Gifts;Bakeries;Convenience Stores;Food
21,Svs-B-a5-13D2dGTKxLsyw,"""Mr Chicken""",,"""11680 Snow Rd""",Cleveland,OH,44130,41.4050396,-81.7683865,3.0,4,Restaurants;Fast Food
22,by_hdCLqAMHW8EEfPYjktA,"""Vital Lunch""",,"""Tübinger Str. 22""",Stuttgart,BW,70178,48.7716,9.17372,3.0,6,Food;Caterers;Restaurants;Fast Food;French;Event Planning & Services;Food Delivery Services
23,6PwKC0dqP9uI85FEP86iPQ,"""Red Viet Cuisine - Sushi""",,"""5221 S Power Rd, Ste 104""",MESA,AZ,85212,33.3210685814,-111.68517183200001,3.5,164,Sushi Bars;Restaurants;Japanese;Asian Fusion;Vietnamese
24,dfeT_kmoO388KzyVv0Styg,"""Tutti Frutti""",,"""1500 Elgin Mills Road E, Unit 106""",Richmond Hill,ON,L4S 1M5,43.8989497,-79.3955067,4.0,5,Food;Ice Cream & Frozen Yogurt
25,d4GBb0eVWVdfL5aJx3UCRg,"""Casual Water""",,"""Tega Cay Golf Club, 15083 Molokai Dr""",Tega Cay,SC,29708,35.024312,-81.0278546,3.5,23,Arts & Entertainment;American (Traditional);Sushi Bars;Nightlife;Restaurants;Music Venues
26,FfI9FOaQqzUxixw6_glt3Q,"""Affinito's Bistro""",,"""3655 W Anthem Way, Ste C-137""",Phoenix,AZ,85086,33.8649643,-112.1388202,3.0,6,Restaurants;Italian
27,3b4efqz06QrLQ_w2xLc4pA,"""Olive Garden Italian Restaurant""",,"""10223 N Metro Parkway E""",Phoenix,AZ,85051,33.5803023,-112.1196529,3.0,40,Restaurants;Italian
28,WEouNHHxfqGa8gYAnyiyBA,"""El Palenque""",,"""5945 Andrews Rd""",Mentor-on-the-Lake,OH,44060,41.7078674,-81.3612933,3.5,3,Restaurants;Mexican
29,bLva9YGmDcnar3YKHE2XzA,"""Tutti Frutti Frozen Yogurt""",Squirrel Hill,"""5874 Forbes Ave""",Pittsburgh,PA,15217,40.4378411,-79.9201088,3.5,31,Food;Ice Cream & Frozen Yogurt
30,9zSRAOUIM3I2ZnY9xwvioQ,"""Sandstone Cafe""",,"""4959 W Ray Rd""",Chandler,AZ,85226,33.3183691,-111.9276449,3.0,10,Restaurants;American (Traditional)
31,_--LAZXefssKWdyn-BTp9A,"""Fitch's Chophouse & Spirits""",,"""5957 McKee Rd""",Fitchburg,WI,53719,43.0148509,-89.4579482,2.0,3,Restaurants
32,H0Zq06uQqHI3we2I_3wNxA,"""Sweet Lee's Rustic Bakery""",Sud-Ouest,"""291 Beaudoin Street""",Montréal,QC,H4C 2Y3,45.474273499999995,-73.585614,4.5,5,Bakeries;Food;Desserts
33,u29lf2yPd-qK5ThAS9FRQQ,"""Kinthai""",Westside,"""4105 W Sahara Ave""",Las Vegas,NV,89102,36.1440231017,-115.195895992,4.5,61,Restaurants;Thai
34,PmDhZiyiHI6O3RJXXojJcA,"""Pizza Pizza""",Scarborough,"""Lebovic""",Toronto,ON,M1L,43.724840004099995,-79.28991885,2.0,4,Pizza;Restaurants
35,KYEZATGRY5aD69ZR6VvyWQ,"""North Forty Saloon and BBQ""",Centennial,"""5990 Centennial Center Blvd""",Las Vegas,NV,89149,36.2718383376,-115.26327939299999,3.5,31,Dance Clubs;Nightlife;Restaurants;Barbeque;American (Traditional)
36,rSCevr5tQJTxPzMIq3n5Gw,"""Yoshi's Asian Grill""",,"""3800 E Sky Harbor Blvd""",Phoenix,AZ,85034,33.4356207,-112.00954569999999,2.5,14,Restaurants;Asian Fusion
37,g3HuShjhEjDxOy6Ykp9l4A,"""Buehler's Fresh Foods""",,"""3688 Center Rd""",Brunswick,OH,44212,41.236607899999996,-81.818474,4.0,8,Food;Grocery
38,f-ZCLP1SL1a8qvTrPBI-DQ,"""Ungarisches Restaurant Bei Melinda""",,"""Landhausstr. 110""",Stuttgart,BW,70190,48.7874484,9.2018839,4.0,3,Restaurants;Hungarian
39,dcGq4lhHAuPpKYHcLP_Xmg,"""Rita's Garden""",,"""Schwabstr. 124""",Stuttgart,BW,70193,48.7816,9.1576,2.5,3,Indian;Restaurants
40,to2cGMKdaw7ZHbXMzpfhlA,"""Filiberto's Mexican Rest""",,"""3218 E Mcdowell Rd""",Phoenix,AZ,85008,33.4660114,-112.0123338,3.0,7,Restaurants;Mexican
41,T1U7Te9Ulv2Qqfzna4JuYA,"""Tucker's Marketplace Restaurant""",,"""5067 Dixie Rd""",Mississauga,ON,L4W,43.636465799999996,-79.6214012,3.5,3,Fast Food;Restaurants
42,06_bDWrsZkj5l1u1OUZ4Vg,"""Cupz""",Southwest,"""8520 Blue Diamond Rd""",Las Vegas,NV,89178,36.020846,-115.27726200000001,3.5,37,Food;Coffee & Tea;Desserts
43,JzNXaLxwWnC_zKOI0tkt2w,"""WineStyles""",,"""9788 W Northern Ave""",Peoria,AZ,85345,33.5515304,-112.2707018,4.0,6,Food;Nightlife;Bars;Beer;Wine & Spirits;Wine Bars
44,AKhyVVdettT6M-ExhYKHdw,"""Baxters""",Leith,"""Unit 2, Ocean Drive""",Edinburgh,EDH,EH6 6JJ,55.9795839,-3.1788828,4.0,10,Restaurants;Food;Coffee & Tea;Soup
45,0LKcSabd5Gd5oz-qrHTzZg,"""Cin-Cin Restaurant""",,"""4425 N Buckboard Trl.""",Scottsdale,AZ,85251,33.5012604,-111.92336329999999,3.0,5,Lounges;Restaurants;Nightlife;Bars;Italian
46,e4tpnasQOzkoIegUg__aiw,"""Dinkey Donkey""",,"""37636 N Tom Darlington Rd""",Cave Creek,AZ,85331,33.8271931,-111.9237212,4.5,3,Delis;Restaurants
47,pFmuMpPANaAFQ1PGVv1FeQ,"""Billu's Indian Grill""",,"""3936 Monroeville Blvd""",Monroeville,PA,15146,40.437064899999996,-79.777604,3.0,4,Restaurants;Indian
48,Z-v7FStTnqpt0ibzlIbTEA,"""Pineapple Park""",The Strip,"""3743 Las Vegas Blvd S, Ste 121""",Las Vegas,NV,89109,36.1067305,-115.1719754,2.0,6,Ice Cream & Frozen Yogurt;Food;Desserts;Juice Bars & Smoothies
49,LjqS416neuQCaolmUy2mrA,"""Boulangerie 1001 Grains""",Ville-Marie,"""1308 Rue Notre-Dame O""",Montréal,QC,H3C 1K7,45.4926683,-73.5648441,4.5,4,Food;Bakeries
50,jkAr4Dnoh7fZL66DNv6jqg,"""Red Mango""",Eastside,"""4480 Paradise Rd, #1000""",Las Vegas,NV,89169,36.108801299999996,-115.152093,4.0,36,Desserts;Food
51,M-rqZ56wTGSNoIIsBSlhDA,"""Hong Kong Style Cafe""",Buttonville,"""10 Apple Creek Boulevard""",Markham,ON,L3R 5W9,43.8568079,-79.359809,3.0,34,Restaurants;Chinese
52,0s0Xthk1JWrBUu74M81Xyg,"""The Good Egg - Val Vista""",,"""1939 S Val Vista Dr""",Mesa,AZ,85204,33.380479,-111.7533699,4.0,109,American (New);Breakfast & Brunch;Restaurants
53,SlelFNxQz5PJbl6kkjI0OA,"""Makino""",Southeast,"""9570 S Eastern Ave""",Las Vegas,NV,89136,36.015136299999995,-115.1184733,3.0,7,Restaurants;Japanese
54,pUihHVilZtpZz4FApnOvtA,"""Mr Combo""",Willowdale,"""568 Sheppard Avenue W""",North York,ON,M3H 2R9,43.755557,-79.43779479999999,4.0,14,Middle Eastern;Restaurants
55,z-5YXiSmZchuoANnqfp1vg,"""Pi-Tom's Thai Cuisine""",Downtown Core,"""235 Jarvis Street""",Toronto,ON,M5B 2C1,43.656811600000005,-79.3742278,3.5,13,Thai;Restaurants
56,4-YKQyhDR2bZ26AYgZ7aFg,"""Royal Boonsik""",Koreatown,"""647 Bloor Street W""",Toronto,ON,M6G 1L1,43.6641693,-79.4151618,4.0,30,Food;Restaurants;Korean;Grocery
57,CyKi4WgsRNpp3jgsxBEcDg,"""North Shore Pie""",,"""874 Eglinton Avenue E""",Toronto,ON,M4G 2L1,43.713539600000004,-79.36498399999999,4.0,34,Food;Bakeries;Restaurants;Cafes
58,EEePiBwchl-TIBVcTdE0RA,"""McDonald's""",The Strip,"""Excalibur Food Court, 3850 Las Vegas Blvd S""",Las Vegas,NV,89119,36.098909,-115.17555700000001,2.0,26,Burgers;Fast Food;Restaurants
59,ziEGXxNH55x7CMi0eAouKg,"""Little Tibet Restaurant""",Niagara,"""712 Queen St W""",Toronto,ON,M6J 1E8,43.646305299999995,-79.4088793,4.0,3,Himalayan/Nepalese;Restaurants
60,0v984vlPQfb4VZWvBJSsfg,"""Cosmos Cafe""",First Ward,"""300 N College St""",Charlotte,NC,28202,35.2278319,-80.83923840000001,3.0,59,Sushi Bars;Restaurants;Nightlife;Lounges;American (New);Bars
61,O_UiTH7YjqTS1UTk-shFnA,"""Real Food Charlotte""",South End,"""2102 South Blvd, #150""",Charlotte,NC,28203,35.208548,-80.86153,4.0,4,Restaurants;Vegetarian;Live/Raw Food
62,JiDH-_K3uQ8TwFx6jFjqcA,"""FEED""",,"""115 N 7th St., Inside Club Azul Tequila""",Las Vegas,NV,89101,36.17311,-115.125401,4.0,5,Farmers Market;Food
63,-DtaPJJ-beogNkDKusGhlA,"""Toro Sushi""",Unionville,"""8515 McCowan Road""",Markham,ON,L3P 5E5,43.8681595,-79.28394200000001,3.5,36,Japanese;Korean;Restaurants
64,NVzyNCSHRbOe0x1A74I61w,"""Westshore Pizza & Cheesesteaks""",,"""10021 W 130th St""",Strongsville,OH,44136,41.336465999999994,-81.78479,2.5,5,Pizza;Restaurants;Cheesesteaks
65,eSQt_QNjxNEYN3bF1fHbQg,"""Monster Mash""",Old Town,"""20 Forrest Road""",Edinburgh,EDH,EH1 2QN,55.9458,-3.1911,3.5,25,British;Cafes;Restaurants
66,wFnMOhf51su_yIcHWdCeLw,"""Mama's Authentic Caribbean Restaurant""",,"""349 Marlee Avenue""",Toronto,ON,M6B 3H9,43.7067653,-79.4426656,5.0,7,Restaurants;Caribbean
67,0JLUC5A6Vk78qyitcWqGMQ,"""Pdq Food Stores""",,"""6133 McKee Rd""",Fitchburg,WI,53711,43.0150040892,-89.46963648190001,3.0,4,Gas Stations;Food;Convenience Stores;Automotive
68,ez6zdZFFgHuMDda6YvOi6A,"""Yogurtz""",,"""16995 W Greenway Rd, Ste 112""",Surprise,AZ,85388,33.6346449418,-112.375346646,4.0,15,Ice Cream & Frozen Yogurt;Food
69,pjQVoTe8BHboKn37uVLNjw,"""T Cafe""",,"""511 Bloor St W""",Toronto,ON,M5S 1Y4,43.665501299999995,-79.4087533,3.5,13,Food;Coffee & Tea
70,w55IYhyLHUdsRlo_EvMmNQ,"""Table 89""",Centennial,"""7160 North Durango Dr, Ste 110""",Las Vegas,NV,89149,36.291436499999996,-115.2870159,3.0,76,Salad;Sandwiches;Restaurants;American (New);Pizza
71,7kO8bObVGFa-T3mj6PVYsg,"""Quiznos""",Eastside,"""730 E Flamingo Rd""",Las Vegas,NV,89119,36.114988000000004,-115.147904,5.0,4,Restaurants;Sandwiches
72,MWcN6qLWTfRJqLySxwJNqQ,"""Kabob Place""",,"""26569 Center Ridge Rd""",Westlake,OH,44145,41.4510113,-81.914599,4.0,42,Middle Eastern;Restaurants;Indian;Food;American (New);Afghan
73,kiU9C58n7dgygdrpjOQXMQ,"""Los Jarochos Restaurant""",Spring Valley,"""4811 S Rainbow Blvd""",Las Vegas,NV,89147,36.101319000000004,-115.244375,4.0,62,Restaurants;Mexican
74,7Zt5xgAmPjpc5yfyC9mHYQ,"""Brickyard Grounds""",Leslieville,"""1289 Gerrard Street E""",Toronto,ON,M4L 1Y5,43.670737599999995,-79.32809549999999,4.0,15,Food;Cafes;Coffee & Tea;Restaurants;Breakfast & Brunch
75,7W9I_S3llnTAW1B-iCoM6g,"""La Bulle au Carré""",Plateau-Mont-Royal,"""3482 Rue Saint-denis""",Montréal,QC,H2L 4S9,45.517582399999995,-73.5687815,3.5,24,Creperies;Restaurants;Cafes
76,M9fOuiesoUSaouOqNQ3U2w,"""Wong's Place""",,"""1825 E Baseline Rd.""",Tempe,AZ,85283,33.3779385,-111.9062779,4.0,149,Chinese;Restaurants
77,SCDym9EeJT8YUkaqVO4cZQ,"""Camille's Sidewalk Cafe""",,"""4596 5th Ave""",Pittsburgh,PA,15289,40.7852453,-80.3314019,3.5,7,Sandwiches;Restaurants
78,VQBOBXLk8f5dxtP1-_yPUw,"""Teara Lab""",Downtown Core,"""181 College Street""",Toronto,ON,M5T 1P7,43.65889979999999,-79.3942527,3.5,35,Japanese;Restaurants;Sandwiches;Burgers
79,3c6FN1VrCAV4s60PsWTCLA,"""Pho All Seasons""",,"""1116 S Dobson Rd""",Mesa,AZ,85202,33.3944997,-111.8748402,3.0,14,Restaurants;Vietnamese
80,Ka3z0iudeviL2nEKZ4BeYg,"""Tijuana Flats""",Dilworth,"""1608 E Blvd""",Charlotte,NC,28203,35.199187,-80.84145500000001,4.0,50,Mexican;Food;Restaurants;Tex-Mex
81,v0KawuAO7clhXCDKobFs0g,"""Currito - Burritos Without Borders""",,"""Pittsburgh International Airport""",Pittsburgh,PA,15231,40.4963091402,-80.2461576462,3.0,71,Mexican;Restaurants
82,R06MTQpLNdsnr5wrCkMXfQ,"""Doubleday's""",Downtown,"""121 6th St""",Pittsburgh,PA,15222,40.4435521,-80.00220279999999,3.5,23,Burgers;Sports Bars;Bars;Restaurants;Nightlife
83,nWMMI1z73AZOCRMSw1b5SA,"""Urraca Resto Lounge""",Willowdale,"""19A Finch Avenue W""",Toronto,ON,M2N 7K4,43.779209136999995,-79.4172515869,3.0,10,Asian Fusion;Restaurants;Nightlife;Lounges;Bars;Korean
84,RO_QEX7VVdp698w_7mymuw,"""Suriya""",,"""Gänsfußallee 40""",Ludwigsburg,BW,71636,48.892928999999995,9.1747099,3.5,29,Restaurants;Indian
85,mYeUwj1BlhJTaHd1Uo6PUA,"""Kimo's Sushi Shop""",Ohio City,"""1885 Fulton Rd""",Cleveland,OH,44113,41.483162,-81.71012900000001,4.0,3,Restaurants;Sushi Bars
86,ceVWEkif38SMGNcBR55PNA,"""Tay-Yo Sushi Seafood Buffet""",Southeast,"""9570 S Eastern Ave""",Henderson,NV,89074,36.015136299999995,-115.1184733,2.0,4,Buffets;Restaurants;Seafood
87,7Zmxle5A6XTZACIHgiC98Q,"""Kashman's Place""",,"""23425 N Scottsdale Rd, Ste 6""",Scottsdale,AZ,85250,33.519588,-111.909524,3.5,21,Bagels;Delis;Restaurants;Food
88,w_vkR8qzclBU15ygRc8jfQ,"""Marsala's Pizza and Ristorante""",,"""421 E Main St""",Stoughton,WI,53589,42.916665,-89.215815,4.0,4,Pizza;Restaurants
89,tFNNWKW_L8wM592nUy4M4Q,"""Crimson Teas""",Downtown Core,"""233 College Street""",Toronto,ON,M5T 1R4,43.6581303494,-79.3978738412,5.0,11,Tea Rooms;Food
90,8b4amK9y5miP6-UzfH5K0A,"""Conviction""",,"""609 King St W""",Toronto,ON,M5V 1MB,43.644220700000005,-79.4006551,3.5,3,Restaurants
91,f4bM7MaGtxiKZbPJFFPVPQ,"""Lick's""",,"""780 Kingston Road""",Pickering,ON,L1V 0C5,43.8216947,-79.1117537,2.0,4,Restaurants;Burgers;Hot Dogs
92,qVQGfHphxolps16v6g5X-g,"""Belfiore's Italian Ristorante""",,"""15842 N Cave Creek Rd""",Phoenix,AZ,85032,33.6308568,-112.03092439999999,3.5,67,Pizza;Italian;Food;Restaurants;Bakeries
93,DDv2jmA0XYO5H40agMGfoQ,"""Cafe Merlin""",,"""Augustenstr. 72""",Stuttgart,BW,70178,48.7703,9.16108,4.0,6,Coffee & Tea;Restaurants;Food;Pubs;Bars;Cafes;Nightlife
94,dTO0eEhgHnWt3glykO7J1Q,"""Kilo Café""",Plateau-Mont-Royal,"""5206 Boulevard Saint-Laurent""",Montréal,QC,H2T 1S1,45.5239282,-73.5947936,3.5,6,Food;Sandwiches;Coffee & Tea;Cafes;Restaurants;Desserts;Creperies
95,aA9U8Jxfx68A_rZeLlkTWQ,"""Famous Laffa""",,"""6283 Yonge Street""",Toronto,ON,M2M 3X6,43.7952816,-79.4193321,3.5,19,Middle Eastern;Mediterranean;Restaurants;Kosher
96,9gC44DSWlq2Zg0QzLGx4og,"""Billards Fellbach""",,"""Esslinger Str. 75""",Fellbach,BW,70736,48.81386,9.27058,4.0,7,Cafes;Nightlife;Restaurants;Bars;Pool Halls
97,88ntJxZNxRIY8W_hji9pzg,"""Szechwan Palace""",,"""2386 N Alma School Rd""",Chandler,AZ,85224,33.3401985168,-111.859687805,3.5,86,Szechuan;Restaurants;Chinese
98,CaJ-9PN-W9g6sjyFbB8Kdg,"""Golden""",Roncesvalles,"""35 Golden Avenue, Suite 111""",Toronto,ON,M6R 2J5,43.6533782,-79.44744159999999,4.5,9,Cafes;Restaurants
99,rnu3iUdqqNwcQS5uSeZFTQ,"""Alberici's Delicatezza""",,"""135 S Main St, Ste A""",Oregon,WI,53575,42.9256,-89.384996,4.5,3,Restaurants;Italian;Delis
100,Q_RpxG-YEMOk_yniWZfHCA,"""Bojangles' Famous Chicken 'n Biscuits""",Eastland,"""5525 E Independence Blvd""",Charlotte,NC,28212,35.184415,-80.75636290000001,3.0,3,Fast Food;Chicken Wings;Restaurants
101,Rhkz_-xd4TiNOPLvIGKbcg,"""Fresh & Easy Neighborhood Market""",,"""6100 W Vegas Dr""",Las Vegas,NV,89108,36.188646999999996,-115.22508390000002,4.0,4,Food;Grocery
102,1AYE97AIgg7j8mr92rwswA,"""Taj Express""",,"""161 Dundee St""",Edinburgh,EDH,EH11 1BY,55.9399088,-3.2196386,4.5,3,Restaurants;Indian
103,kuAWQKIhXj5jiO5Ll4SuMQ,"""Ten Restaurant & Wine Bar""",Port Credit,"""139 Lakeshore Road E""",Mississauga,ON,L5G 1E5,43.554861100000004,-79.5817496,3.0,82,Nightlife;Gastropubs;Wine Bars;Restaurants;Bars
104,YAzTL9kr2YdsymrolNoVxg,"""Pink Lemon Bake Shop""",Pine Grove,"""4585 Highway 7, Unit 13""",Vaughan,ON,L4L 9T8,43.7839840896,-79.57569122310001,3.5,4,Bakeries;Food;Desserts
105,vn0wYNms_5PseeYZ6pfLmA,"""S&D Cafe""",The Hill District,"""1425 Forbes Ave""",Pittsburgh,PA,15219,40.4377735,-79.9853827,5.0,6,Sandwiches;Coffee & Tea;Cafes;Food;Restaurants
106,TolwZ3L28or4E8SVTZUf6Q,"""Spinato's Pizza""",,"""1219 E Glendale Ave, Ste 14""",Phoenix,AZ,85020,33.5378713137,-112.055160999,4.0,157,Restaurants;Pizza;Sandwiches;Italian
